public_intersection,year,all_eligible_crashes,cyclist_involved_crashes,pedestrian_involved_crashes
DEWOLFE & MILL ST,2023,0,0,0
DEWOLFE & MILL ST,2024,0,0,0
DEWOLFE & MILL ST,2025,1,1,0
DOVER ST & MASSACHUSETTS AVE,2023,1,1,0
DOVER ST & MASSACHUSETTS AVE,2024,0,0,0
DOVER ST & MASSACHUSETTS AVE,2025,0,0,0
DUDLEY ST & MASSACHUSETTS AVE,2023,1,0,1
DUDLEY ST & MASSACHUSETTS AVE,2024,0,0,0
DUDLEY ST & MASSACHUSETTS AVE,2025,0,0,0
DUNSTER ST & SOUTH ST,2023,0,0,0
DUNSTER ST & SOUTH ST,2024,1,0,1
DUNSTER ST & SOUTH ST,2025,0,0,0
EAST ST & MORGAN AVE,2023,0,0,0
EAST ST & MORGAN AVE,2024,0,0,0
EAST ST & MORGAN AVE,2025,1,1,0
